filename,n,p,prevalence,rho,observed_prevalence,num_mains,num_interactions
simulated_dataset_250_0.05_20_0.0.csv,250,20,0.05,0.0,0.028,10,10
simulated_dataset_250_0.05_20_0.5.csv,250,20,0.05,0.5,0.056,10,10
simulated_dataset_250_0.05_20_0.8.csv,250,20,0.05,0.8,0.056,10,10
simulated_dataset_250_0.05_500_0.0.csv,250,500,0.05,0.0,0.048,10,10
simulated_dataset_250_0.05_500_0.5.csv,250,500,0.05,0.5,0.052,10,10
simulated_dataset_250_0.05_500_0.8.csv,250,500,0.05,0.8,0.044,10,10
simulated_dataset_250_0.2_20_0.0.csv,250,20,0.2,0.0,0.18,10,10
simulated_dataset_250_0.2_20_0.5.csv,250,20,0.2,0.5,0.176,10,10
simulated_dataset_250_0.2_20_0.8.csv,250,20,0.2,0.8,0.18,10,10
simulated_dataset_250_0.2_500_0.0.csv,250,500,0.2,0.0,0.216,10,10
simulated_dataset_250_0.2_500_0.5.csv,250,500,0.2,0.5,0.18,10,10
simulated_dataset_250_0.2_500_0.8.csv,250,500,0.2,0.8,0.216,10,10
simulated_dataset_250_0.5_20_0.0.csv,250,20,0.5,0.0,0.544,10,10
simulated_dataset_250_0.5_20_0.5.csv,250,20,0.5,0.5,0.484,10,10
simulated_dataset_250_0.5_20_0.8.csv,250,20,0.5,0.8,0.54,10,10
simulated_dataset_250_0.5_500_0.0.csv,250,500,0.5,0.0,0.492,10,10
simulated_dataset_250_0.5_500_0.5.csv,250,500,0.5,0.5,0.504,10,10
simulated_dataset_250_0.5_500_0.8.csv,250,500,0.5,0.8,0.54,10,10
simulated_dataset_500_0.05_20_0.0.csv,500,20,0.05,0.0,0.05,10,10
simulated_dataset_500_0.05_20_0.5.csv,500,20,0.05,0.5,0.044,10,10
simulated_dataset_500_0.05_20_0.8.csv,500,20,0.05,0.8,0.046,10,10
simulated_dataset_500_0.05_500_0.0.csv,500,500,0.05,0.0,0.036,10,10
simulated_dataset_500_0.05_500_0.5.csv,500,500,0.05,0.5,0.054,10,10
simulated_dataset_500_0.05_500_0.8.csv,500,500,0.05,0.8,0.03,10,10
simulated_dataset_500_0.2_20_0.0.csv,500,20,0.2,0.0,0.19,10,10
simulated_dataset_500_0.2_20_0.5.csv,500,20,0.2,0.5,0.18,10,10
simulated_dataset_500_0.2_20_0.8.csv,500,20,0.2,0.8,0.204,10,10
simulated_dataset_500_0.2_500_0.0.csv,500,500,0.2,0.0,0.194,10,10
simulated_dataset_500_0.2_500_0.5.csv,500,500,0.2,0.5,0.206,10,10
simulated_dataset_500_0.2_500_0.8.csv,500,500,0.2,0.8,0.19,10,10
simulated_dataset_500_0.5_20_0.0.csv,500,20,0.5,0.0,0.5,10,10
simulated_dataset_500_0.5_20_0.5.csv,500,20,0.5,0.5,0.48,10,10
simulated_dataset_500_0.5_20_0.8.csv,500,20,0.5,0.8,0.51,10,10
simulated_dataset_500_0.5_500_0.0.csv,500,500,0.5,0.0,0.522,10,10
simulated_dataset_500_0.5_500_0.5.csv,500,500,0.5,0.5,0.506,10,10
simulated_dataset_500_0.5_500_0.8.csv,500,500,0.5,0.8,0.518,10,10
simulated_dataset_1000_0.05_20_0.0.csv,1000,20,0.05,0.0,0.058,10,10
simulated_dataset_1000_0.05_20_0.5.csv,1000,20,0.05,0.5,0.05,10,10
simulated_dataset_1000_0.05_20_0.8.csv,1000,20,0.05,0.8,0.05,10,10
simulated_dataset_1000_0.05_500_0.0.csv,1000,500,0.05,0.0,0.05,10,10
simulated_dataset_1000_0.05_500_0.5.csv,1000,500,0.05,0.5,0.051,10,10
simulated_dataset_1000_0.05_500_0.8.csv,1000,500,0.05,0.8,0.046,10,10
simulated_dataset_1000_0.2_20_0.0.csv,1000,20,0.2,0.0,0.207,10,10
simulated_dataset_1000_0.2_20_0.5.csv,1000,20,0.2,0.5,0.199,10,10
simulated_dataset_1000_0.2_20_0.8.csv,1000,20,0.2,0.8,0.186,10,10
simulated_dataset_1000_0.2_500_0.0.csv,1000,500,0.2,0.0,0.202,10,10
simulated_dataset_1000_0.2_500_0.5.csv,1000,500,0.2,0.5,0.188,10,10
simulated_dataset_1000_0.2_500_0.8.csv,1000,500,0.2,0.8,0.207,10,10
simulated_dataset_1000_0.5_20_0.0.csv,1000,20,0.5,0.0,0.5,10,10
simulated_dataset_1000_0.5_20_0.5.csv,1000,20,0.5,0.5,0.492,10,10
simulated_dataset_1000_0.5_20_0.8.csv,1000,20,0.5,0.8,0.512,10,10
simulated_dataset_1000_0.5_500_0.0.csv,1000,500,0.5,0.0,0.483,10,10
simulated_dataset_1000_0.5_500_0.5.csv,1000,500,0.5,0.5,0.513,10,10
simulated_dataset_1000_0.5_500_0.8.csv,1000,500,0.5,0.8,0.516,10,10
