filename,n,p,prevalence,rho,observed_prevalence,num_mains,num_interactions
simulated_dataset_250_0.05_20_0.0_full_scale.csv,250,20,0.05,0.0,0.044,10,10
simulated_dataset_250_0.05_20_0.5_full_scale.csv,250,20,0.05,0.5,0.036,10,10
simulated_dataset_250_0.05_20_0.8_full_scale.csv,250,20,0.05,0.8,0.052,10,10
simulated_dataset_250_0.05_500_0.0_full_scale.csv,250,500,0.05,0.0,0.04,10,10
simulated_dataset_250_0.05_500_0.5_full_scale.csv,250,500,0.05,0.5,0.052,10,10
simulated_dataset_250_0.05_500_0.8_full_scale.csv,250,500,0.05,0.8,0.04,10,10
simulated_dataset_250_0.2_20_0.0_full_scale.csv,250,20,0.2,0.0,0.196,10,10
simulated_dataset_250_0.2_20_0.5_full_scale.csv,250,20,0.2,0.5,0.196,10,10
simulated_dataset_250_0.2_20_0.8_full_scale.csv,250,20,0.2,0.8,0.196,10,10
simulated_dataset_250_0.2_500_0.0_full_scale.csv,250,500,0.2,0.0,0.24,10,10
simulated_dataset_250_0.2_500_0.5_full_scale.csv,250,500,0.2,0.5,0.204,10,10
simulated_dataset_250_0.2_500_0.8_full_scale.csv,250,500,0.2,0.8,0.192,10,10
simulated_dataset_250_0.5_20_0.0_full_scale.csv,250,20,0.5,0.0,0.52,10,10
simulated_dataset_250_0.5_20_0.5_full_scale.csv,250,20,0.5,0.5,0.484,10,10
simulated_dataset_250_0.5_20_0.8_full_scale.csv,250,20,0.5,0.8,0.52,10,10
simulated_dataset_250_0.5_500_0.0_full_scale.csv,250,500,0.5,0.0,0.516,10,10
simulated_dataset_250_0.5_500_0.5_full_scale.csv,250,500,0.5,0.5,0.54,10,10
simulated_dataset_250_0.5_500_0.8_full_scale.csv,250,500,0.5,0.8,0.524,10,10
simulated_dataset_500_0.05_20_0.0_full_scale.csv,500,20,0.05,0.0,0.038,10,10
simulated_dataset_500_0.05_20_0.5_full_scale.csv,500,20,0.05,0.5,0.04,10,10
simulated_dataset_500_0.05_20_0.8_full_scale.csv,500,20,0.05,0.8,0.04,10,10
simulated_dataset_500_0.05_500_0.0_full_scale.csv,500,500,0.05,0.0,0.05,10,10
simulated_dataset_500_0.05_500_0.5_full_scale.csv,500,500,0.05,0.5,0.048,10,10
simulated_dataset_500_0.05_500_0.8_full_scale.csv,500,500,0.05,0.8,0.038,10,10
simulated_dataset_500_0.2_20_0.0_full_scale.csv,500,20,0.2,0.0,0.196,10,10
simulated_dataset_500_0.2_20_0.5_full_scale.csv,500,20,0.2,0.5,0.188,10,10
simulated_dataset_500_0.2_20_0.8_full_scale.csv,500,20,0.2,0.8,0.216,10,10
simulated_dataset_500_0.2_500_0.0_full_scale.csv,500,500,0.2,0.0,0.194,10,10
simulated_dataset_500_0.2_500_0.5_full_scale.csv,500,500,0.2,0.5,0.196,10,10
simulated_dataset_500_0.2_500_0.8_full_scale.csv,500,500,0.2,0.8,0.19,10,10
simulated_dataset_500_0.5_20_0.0_full_scale.csv,500,20,0.5,0.0,0.494,10,10
simulated_dataset_500_0.5_20_0.5_full_scale.csv,500,20,0.5,0.5,0.49,10,10
simulated_dataset_500_0.5_20_0.8_full_scale.csv,500,20,0.5,0.8,0.5,10,10
simulated_dataset_500_0.5_500_0.0_full_scale.csv,500,500,0.5,0.0,0.514,10,10
simulated_dataset_500_0.5_500_0.5_full_scale.csv,500,500,0.5,0.5,0.502,10,10
simulated_dataset_500_0.5_500_0.8_full_scale.csv,500,500,0.5,0.8,0.504,10,10
simulated_dataset_1000_0.05_20_0.0_full_scale.csv,1000,20,0.05,0.0,0.04,10,10
simulated_dataset_1000_0.05_20_0.5_full_scale.csv,1000,20,0.05,0.5,0.056,10,10
simulated_dataset_1000_0.05_20_0.8_full_scale.csv,1000,20,0.05,0.8,0.052,10,10
simulated_dataset_1000_0.05_500_0.0_full_scale.csv,1000,500,0.05,0.0,0.053,10,10
simulated_dataset_1000_0.05_500_0.5_full_scale.csv,1000,500,0.05,0.5,0.055,10,10
simulated_dataset_1000_0.05_500_0.8_full_scale.csv,1000,500,0.05,0.8,0.046,10,10
simulated_dataset_1000_0.2_20_0.0_full_scale.csv,1000,20,0.2,0.0,0.196,10,10
simulated_dataset_1000_0.2_20_0.5_full_scale.csv,1000,20,0.2,0.5,0.198,10,10
simulated_dataset_1000_0.2_20_0.8_full_scale.csv,1000,20,0.2,0.8,0.198,10,10
simulated_dataset_1000_0.2_500_0.0_full_scale.csv,1000,500,0.2,0.0,0.198,10,10
simulated_dataset_1000_0.2_500_0.5_full_scale.csv,1000,500,0.2,0.5,0.197,10,10
simulated_dataset_1000_0.2_500_0.8_full_scale.csv,1000,500,0.2,0.8,0.199,10,10
simulated_dataset_1000_0.5_20_0.0_full_scale.csv,1000,20,0.5,0.0,0.501,10,10
simulated_dataset_1000_0.5_20_0.5_full_scale.csv,1000,20,0.5,0.5,0.488,10,10
simulated_dataset_1000_0.5_20_0.8_full_scale.csv,1000,20,0.5,0.8,0.514,10,10
simulated_dataset_1000_0.5_500_0.0_full_scale.csv,1000,500,0.5,0.0,0.501,10,10
simulated_dataset_1000_0.5_500_0.5_full_scale.csv,1000,500,0.5,0.5,0.49,10,10
simulated_dataset_1000_0.5_500_0.8_full_scale.csv,1000,500,0.5,0.8,0.511,10,10
