alpha,cv_requested,cv_mean_used,max_interaction_terms,mean_average_precision,std_average_precision,fold_failures
0.3,0.2,0.4000003333333333,5,0.3267536565338487,0.0,2
0.1,0.05,0.3874860460216314,10,0.30678227279916404,0.0,2
0.7,0.3,0.30000099999999996,10,0.2997579914397539,0.04354344253674887,0
0.1,0.1,0.3666676666666666,10,0.2970659180863481,0.0,2
0.7,0.05,0.054152712688298056,5,0.2958306345419914,0.027817407824724215,0
0.5,0.4,0.43333400000000005,10,0.2940234707504538,0.03906504004088135,1
0.7,0.4,0.400001,5,0.29285461356060866,0.043386912244677577,0
0.7,0.2,0.200001,20,0.28839804500547533,0.01901999094178338,0
0.3,0.2,0.200001,100,0.2876989850127855,0.03440592893753548,0
0.3,0.3,0.30000099999999996,50,0.28419714680246516,0.06381660917557595,0
0.7,0.2,0.200001,100,0.2838044386534781,0.038109405569559836,0
0.5,0.3,0.30000099999999996,100,0.28125871442009515,0.021130668992293974,0
0.5,0.05,0.054152712688298056,50,0.28118304239735187,0.04052219558086955,0
0.5,0.2,0.2166676666666667,10,0.2809832684307679,0.0466255253280242,0
0.05,0.3,0.383334,100,0.2803943187042477,0.023342453752809772,1
0.7,0.05,0.054152712688298056,20,0.27917536510566415,0.038413994356761696,0
0.1,0.2,0.200001,100,0.27855763549733253,0.03469807937959201,0
0.7,0.05,0.054152712688298056,100,0.2781899135776337,0.021134276872241658,0
0.7,0.05,0.054152712688298056,50,0.27799223939469403,0.012382763249858837,0
0.1,0.3,0.3666676666666666,100,0.2774865272187145,0.05710501603413737,0
0.7,0.1,0.100001,10,0.2748122262368873,0.04115414177539661,0
0.5,0.4,0.400001,20,0.27474841882050005,0.026637206643217507,0
0.7,0.4,0.400001,100,0.27470997631634625,0.04148868939174415,0
0.7,0.4,0.400001,50,0.27311803710739524,0.06365565231605341,0
0.5,0.2,0.200001,20,0.27294523527962977,0.0306716441801536,0
0.7,0.4,0.400001,10,0.2720128299691998,0.028322896561350164,0
0.05,0.05,0.22081937935496468,50,0.2707383515872227,0.020817107361469134,1
