alpha,cv_requested,cv_mean_used,max_interaction_terms,mean_average_precision,std_average_precision,fold_failures
0.3,0.4,0.4833336666666666,20,0.3553039691283806,0.0,2
0.7,0.2,0.200001,100,0.3074672063393958,0.057680950462629034,0
0.3,0.3,0.40000066666666667,10,0.3066303201362893,0.019640480619950856,1
0.7,0.3,0.30000099999999996,100,0.2948497056677782,0.03185175792374162,0
0.3,0.2,0.200001,100,0.29291601358472097,0.05157738693321745,0
0.1,0.4,0.466667,50,0.29241136565854886,0.0,2
0.7,0.3,0.30000099999999996,5,0.2915045780208984,0.05671758174394502,0
0.5,0.1,0.100001,100,0.29072172730662693,0.038035588593907634,0
0.7,0.2,0.200001,50,0.2885554049704692,0.025811893428191304,0
0.7,0.05,0.054152712688298056,5,0.2854438975724086,0.03205221290269836,0
0.7,0.1,0.100001,10,0.2849270768750485,0.03235630742427071,0
0.5,0.3,0.30000099999999996,10,0.28425923671638803,0.045564817763882014,0
0.7,0.2,0.200001,10,0.28422888320944756,0.029192033397582223,0
0.7,0.2,0.200001,5,0.28380236201027786,0.04954224873106737,0
0.5,0.3,0.30000099999999996,50,0.28187353927168335,0.029768991659394745,0
0.7,0.3,0.30000099999999996,20,0.2817031981419339,0.010071510475158425,0
0.5,0.1,0.100001,10,0.2806569958881915,0.042848062610510385,0
0.7,0.05,0.054152712688298056,50,0.27890275185761193,0.03048304388038641,0
0.3,0.4,0.41666766666666666,50,0.27864165072575164,0.08352802209593506,0
0.3,0.05,0.054152712688298056,50,0.2769205592888097,0.030460532359119087,0
0.7,0.05,0.054152712688298056,20,0.27432762085892315,0.026608226050344446,0
0.7,0.1,0.100001,20,0.2739981017422483,0.021497032907577065,0
0.1,0.05,0.2708193793549647,20,0.2736276891046393,0.044665475896497345,1
0.3,0.1,0.100001,100,0.27335472515982434,0.028801499492299296,0
0.5,0.4,0.400001,100,0.2726435475548888,0.044974252255870886,0
0.3,0.3,0.30000099999999996,50,0.2723633697621178,0.03206480678649857,0
0.7,0.2,0.200001,20,0.2710315257753041,0.0172252140420539,0
0.5,0.4,0.400001,20,0.26932102421739296,0.02664999656064086,0
0.7,0.05,0.054152712688298056,10,0.2690625601535906,0.020433763831396935,0
0.3,0.05,0.18748604602163135,10,0.2690065632850296,0.03553435808234574,1
0.5,0.3,0.3166676666666666,5,0.2683075740048588,0.01587724564637872,0
0.3,0.2,0.2166676666666667,50,0.26829186964431884,0.023669916768351756,0
0.5,0.05,0.054152712688298056,100,0.26692528648460073,0.011947024549073303,0
0.3,0.1,0.100001,10,0.2669195872604981,0.03529133596589973,0
0.5,0.2,0.2166676666666667,5,0.2666665378687681,0.026371340786468172,0
0.7,0.4,0.400001,5,0.26642656889065636,0.03748175845371137,0
0.3,0.3,0.30000099999999996,100,0.2663153401468457,0.029074600539914435,0
0.3,0.1,0.100001,20,0.26627290011977184,0.027068418658808064,0
0.5,0.1,0.100001,50,0.26548467607232146,0.017753995306590737,0
0.1,0.2,0.200001,100,0.2654292651499736,0.037952637327775963,0
0.5,0.2,0.200001,10,0.2654102552058253,0.017475658707095176,0
0.1,0.4,0.43333400000000005,100,0.2643136948205555,0.014340391317922738,1
0.3,0.1,0.100001,50,0.2639076822539781,0.026056757464642262,0
0.7,0.1,0.100001,100,0.2628433696554768,0.013255454805252165,0
0.3,0.05,0.054152712688298056,100,0.2625591962146651,0.023211117877383582,0
0.5,0.05,0.054152712688298056,50,0.262127156499862,0.035151522122963665,0
0.1,0.1,0.11666766666666667,50,0.2618904521904553,0.03090131018390181,0
0.5,0.05,0.054152712688298056,20,0.2613329874027018,0.014580913977411456,0
0.1,0.05,0.054152712688298056,100,0.2612115878679557,0.023872185932002934,0
0.5,0.4,0.400001,5,0.26088850856569323,0.052194372341987275,0
0.5,0.05,0.054152712688298056,5,0.2603041656321885,0.0249528436209127,0
0.3,0.3,0.3166676666666666,20,0.2601161798251941,0.04243951746345368,0
0.5,0.3,0.30000099999999996,20,0.2600420127697327,0.008306560776505172,0
0.5,0.2,0.200001,100,0.2598377629439626,0.02775721597818649,0
0.7,0.4,0.400001,20,0.2593584974815935,0.03954998760444623,0
0.7,0.1,0.100001,5,0.25921379137737877,0.020895284152443582,0
0.7,0.3,0.30000099999999996,50,0.258639081118278,0.009010582363947486,0
0.5,0.05,0.054152712688298056,10,0.2585809128691541,0.011644981461691364,0
0.5,0.1,0.100001,5,0.2571765674696615,0.013271603520990435,0
0.7,0.4,0.400001,100,0.25696542167916986,0.04357813244357128,0
0.7,0.1,0.100001,50,0.2559733765127977,0.017722112960012817,0
0.3,0.05,0.18748604602163135,5,0.2554481984799477,0.01079297973913218,1
0.1,0.05,0.08748604602163139,50,0.25527267572819423,0.016842669637221645,0
0.5,0.2,0.200001,50,0.2548293050382467,0.010903809439836919,0
0.3,0.2,0.3666673333333333,10,0.25414183139805246,0.01572323310051224,1
0.1,0.1,0.100001,100,0.2534662562388903,0.02137258502741578,0
0.3,0.05,0.12081937935496471,20,0.2530739376078694,0.02560124394564293,0
0.5,0.1,0.100001,20,0.25259580033738505,0.009400347463816395,0
0.3,0.2,0.23333433333333334,20,0.2508714108655006,0.025032255800088558,0
0.7,0.4,0.400001,10,0.25074132555480255,0.030235228716598787,0
0.7,0.05,0.054152712688298056,100,0.25047227004494427,0.025658289661696962,0
0.5,0.3,0.30000099999999996,100,0.2504014519245805,0.01983084132501279,0
0.1,0.1,0.21666766666666662,10,0.24964490856118865,0.015741950650060565,1
0.1,0.2,0.31666733333333336,50,0.2461591586676258,0.04827445067801081,1
0.7,0.3,0.30000099999999996,10,0.24588078577197434,0.011249871028682228,0
0.1,0.3,0.4833336666666666,10,0.24248813611050807,0.0,2
0.1,0.3,0.40000066666666667,50,0.242168446600119,0.010107235004548396,1
