candidate_id,category,z_size,best_score,best_alpha,best_cv,best_mit,z_names
4,random,10,0.35798864451080564,0.1,0.4,50,hsa_miR_X13m_3p;hsa_miR_X21t_5p;hsa_miR_X16p_5p;hsa_miR_X18r_3p;hsa_miR_X2b_5p;hsa_miR_X7g_3p;hsa_miR_X8h_5p;hsa_miR_X3c_3p;hsa_miR_X4d_3p;hsa_miR_X9i_5p
13,high_variance,10,0.3301451971411084,0.1,0.2,20,hsa_miR_X12l_5p;hsa_miR_X3c_3p;hsa_miR_X17q_5p;hsa_miR_X7g_3p;hsa_miR_X1a_3p;hsa_miR_X9i_5p;hsa_miR_X2b_5p;hsa_miR_X8h_5p;hsa_miR_X11k_3p;hsa_miR_X13m_3p
10,high_variance,10,0.3293780780639514,0.5,0.4,20,hsa_miR_X13m_3p;hsa_miR_X4d_3p;hsa_miR_X19s_5p;hsa_miR_X14n_5p;hsa_miR_X6f_3p;hsa_miR_X21t_5p;hsa_miR_X7g_3p;hsa_miR_X16p_5p;hsa_miR_X8h_5p;hsa_miR_X5e_5p
12,high_variance,10,0.31803102149613893,0.3,0.4,5,hsa_miR_X21t_5p;hsa_miR_X1a_3p;hsa_miR_X9i_5p;hsa_miR_X19s_5p;hsa_miR_X7g_3p;hsa_miR_X20t_5p;hsa_miR_X12l_5p;hsa_miR_X13m_3p;hsa_miR_X18r_3p;hsa_miR_X6f_3p
9,high_variance,10,0.3170397690854044,0.5,0.3,20,hsa_miR_X8h_5p;hsa_miR_X2b_5p;hsa_miR_X21t_5p;hsa_miR_X17q_5p;hsa_miR_X12l_5p;hsa_miR_X3c_3p;hsa_miR_X13m_3p;hsa_miR_X1a_3p;hsa_miR_X10j_3p;hsa_miR_X14n_5p
2,random,10,0.2998546227863954,0.1,0.2,20,hsa_miR_X5e_5p;hsa_miR_X2b_5p;hsa_miR_X17q_5p;hsa_miR_X21t_5p;hsa_miR_X1a_3p;hsa_miR_X4d_3p;hsa_miR_X20t_5p;hsa_miR_X10j_3p;hsa_miR_X16p_5p;hsa_miR_X7g_3p
7,random,10,0.29942000212835557,0.7,0.4,10,hsa_miR_X2b_5p;hsa_miR_X16p_5p;hsa_miR_X13m_3p;hsa_miR_X11k_3p;hsa_miR_X8h_5p;hsa_miR_X18r_3p;hsa_miR_X7g_3p;hsa_miR_X4d_3p;hsa_miR_X21t_5p;hsa_miR_X19s_5p
11,high_variance,10,0.2912607300682789,0.1,0.4,50,hsa_miR_X19s_5p;hsa_miR_X3c_3p;hsa_miR_X7g_3p;hsa_miR_X8h_5p;hsa_miR_X20t_5p;hsa_miR_X5e_5p;hsa_miR_X14n_5p;hsa_miR_X16p_5p;hsa_miR_X2b_5p;hsa_miR_X11k_3p
8,random,10,0.28669609715996625,0.1,0.1,20,hsa_miR_X6f_3p;hsa_miR_X13m_3p;hsa_miR_X3c_3p;hsa_miR_X7g_3p;hsa_miR_X18r_3p;hsa_miR_X21t_5p;hsa_miR_X4d_3p;hsa_miR_X14n_5p;hsa_miR_X1a_3p;hsa_miR_X11k_3p
3,random,10,0.28589293417315736,0.1,0.4,100,hsa_miR_X13m_3p;hsa_miR_X6f_3p;hsa_miR_X7g_3p;hsa_miR_X2b_5p;hsa_miR_X3c_3p;hsa_miR_X19s_5p;hsa_miR_X10j_3p;hsa_miR_X16p_5p;hsa_miR_X14n_5p;hsa_miR_X5e_5p
1,random,10,0.2689151509992783,0.1,0.4,50,hsa_miR_X14n_5p;hsa_miR_X4d_3p;hsa_miR_X1a_3p;hsa_miR_X2b_5p;hsa_miR_X17q_5p;hsa_miR_X7g_3p;hsa_miR_X19s_5p;hsa_miR_X11k_3p;hsa_miR_X5e_5p;hsa_miR_X6f_3p
5,random,10,0.26693316404879114,0.7,0.4,50,hsa_miR_X2b_5p;hsa_miR_X12l_5p;hsa_miR_X21t_5p;hsa_miR_X17q_5p;hsa_miR_X19s_5p;hsa_miR_X16p_5p;hsa_miR_X9i_5p;hsa_miR_X10j_3p;hsa_miR_X4d_3p;hsa_miR_X11k_3p
16,high_variance,10,0.25954304149189644,0.1,0.3,50,hsa_miR_X14n_5p;hsa_miR_X9i_5p;hsa_miR_X6f_3p;hsa_miR_X4d_3p;hsa_miR_X3c_3p;hsa_miR_X7g_3p;hsa_miR_X20t_5p;hsa_miR_X1a_3p;hsa_miR_X12l_5p;hsa_miR_X21t_5p
14,high_variance,10,0.25835678060321327,0.5,0.4,5,hsa_miR_X10j_3p;hsa_miR_X20t_5p;hsa_miR_X1a_3p;hsa_miR_X14n_5p;hsa_miR_X18r_3p;hsa_miR_X17q_5p;hsa_miR_X19s_5p;hsa_miR_X12l_5p;hsa_miR_X2b_5p;hsa_miR_X5e_5p
6,random,10,0.25815047224234783,0.1,0.4,50,hsa_miR_X7g_3p;hsa_miR_X14n_5p;hsa_miR_X3c_3p;hsa_miR_X2b_5p;hsa_miR_X19s_5p;hsa_miR_X18r_3p;hsa_miR_X9i_5p;hsa_miR_X16p_5p;hsa_miR_X20t_5p;hsa_miR_X5e_5p
15,high_variance,10,0.25525103186145914,0.1,0.3,10,hsa_miR_X6f_3p;hsa_miR_X12l_5p;hsa_miR_X4d_3p;hsa_miR_X5e_5p;hsa_miR_X9i_5p;hsa_miR_X1a_3p;hsa_miR_X13m_3p;hsa_miR_X17q_5p;hsa_miR_X16p_5p;hsa_miR_X3c_3p
