i,j,freq
0,0,0.46
0,1,0.66
0,2,0.6
0,3,0.18
0,4,0.14
0,5,0.36
0,6,0.24
0,7,0.26
0,8,0.22
0,9,0.62
0,10,0.96
0,11,0.98
0,12,0.08
0,13,0.14
0,14,0.54
0,15,0.66
0,16,0.64
0,17,0.2
0,18,0.12
0,19,0.02
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.44
1,6,0.0
1,7,0.28
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.96
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.28
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.36
2,6,0.0
2,7,0.24
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.96
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.26
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.54
3,6,0.0
3,7,0.2
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.86
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.54
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.56
4,6,0.0
4,7,0.42
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.68
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.54
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
5,5,0.68
5,6,0.46
5,7,0.52
5,8,0.48
5,9,0.78
5,10,0.96
5,11,0.98
5,12,0.14
5,13,0.16
5,14,0.9
5,15,0.92
5,16,0.8
5,17,0.62
5,18,0.3
5,19,0.06
6,6,0.0
6,7,0.58
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.94
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.94
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
7,7,0.64
7,8,0.8
7,9,0.88
7,10,0.96
7,11,0.98
7,12,0.16
7,13,0.38
7,14,0.9
7,15,0.96
7,16,0.82
7,17,0.62
7,18,0.22
7,19,0.08
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.9
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.86
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.92
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.82
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
10,10,0.0
10,11,0.94
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.46
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
11,11,0.84
11,12,0.04
11,13,0.12
11,14,0.54
11,15,0.78
11,16,0.3
11,17,0.28
11,18,0.02
11,19,0.02
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.04
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
13,13,0.0
13,14,0.0
13,15,0.32
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
14,14,0.0
14,15,0.5
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
15,15,0.46
15,16,0.36
15,17,0.24
15,18,0.08
15,19,0.02
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
17,17,0.0
17,18,0.0
17,19,0.0
18,18,0.0
18,19,0.0
19,19,0.0
