stem,n,prev,p,rho,typ,stability_method,pair_agg,pi_main,pi_inter,implied_pfer_main,implied_pfer_inter,chosen_total,stable_total,true_total,chosen_and_stable,chosen_and_true,stable_and_true,all_three,F1,precision,recall,TP,FP,FN,n_stable,all_three_rate,stable_true_rate,all_three_percent,stable_true_percent
simulated_dataset_1000_0.05_20_0.0,1000,0.05,20,0.0,mains,stability,,,,,,2,19,10,2,2,9,2,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.2,0.9,20.0,90.0
simulated_dataset_1000_0.05_20_0.0,1000,0.05,20,0.0,interactions,stability,,,,,,9,90,10,9,7,10,7,0.2,0.1111111111111111,1.0,10,80,0,90,0.7,1.0,70.0,100.0
simulated_dataset_1000_0.05_20_0.5,1000,0.05,20,0.5,mains,stability,,,,,,7,19,10,7,4,9,4,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.4,0.9,40.0,90.0
simulated_dataset_1000_0.05_20_0.5,1000,0.05,20,0.5,interactions,stability,,,,,,13,90,10,13,7,10,7,0.2,0.1111111111111111,1.0,10,80,0,90,0.7,1.0,70.0,100.0
simulated_dataset_1000_0.05_20_0.8,1000,0.05,20,0.8,mains,stability,,,,,,0,17,10,0,0,7,0,0.5185185185185185,0.4117647058823529,0.7,7,10,3,17,0.0,0.7,0.0,70.0
simulated_dataset_1000_0.05_20_0.8,1000,0.05,20,0.8,interactions,stability,,,,,,0,90,10,0,0,10,0,0.2,0.1111111111111111,1.0,10,80,0,90,0.0,1.0,0.0,100.0
simulated_dataset_1000_0.05_500_0.0,1000,0.05,500,0.0,mains,stability,,,,,,1,23,10,1,0,3,0,0.18181818181818182,0.13043478260869565,0.3,3,20,7,23,0.0,0.3,0.0,30.0
simulated_dataset_1000_0.05_500_0.0,1000,0.05,500,0.0,interactions,stability,,,,,,0,8,10,0,0,5,0,0.5555555555555556,0.625,0.5,5,3,5,8,0.0,0.5,0.0,50.0
simulated_dataset_1000_0.05_500_0.5,1000,0.05,500,0.5,mains,stability,,,,,,12,7,10,4,0,0,0,0.0,0.0,0.0,0,7,10,7,0.0,0.0,0.0,0.0
simulated_dataset_1000_0.05_500_0.5,1000,0.05,500,0.5,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_1000_0.05_500_0.8,1000,0.05,500,0.8,mains,stability,,,,,,1,13,10,1,1,2,1,0.17391304347826086,0.15384615384615385,0.2,2,11,8,13,0.1,0.2,10.0,20.0
simulated_dataset_1000_0.05_500_0.8,1000,0.05,500,0.8,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_1000_0.2_20_0.0,1000,0.2,20,0.0,mains,stability,,,,,,7,20,10,7,4,10,4,0.6666666666666666,0.5,1.0,10,10,0,20,0.4,1.0,40.0,100.0
simulated_dataset_1000_0.2_20_0.0,1000,0.2,20,0.0,interactions,stability,,,,,,15,90,10,15,8,10,8,0.2,0.1111111111111111,1.0,10,80,0,90,0.8,1.0,80.0,100.0
simulated_dataset_1000_0.2_20_0.5,1000,0.2,20,0.5,mains,stability,,,,,,11,20,10,11,7,10,7,0.6666666666666666,0.5,1.0,10,10,0,20,0.7,1.0,70.0,100.0
simulated_dataset_1000_0.2_20_0.5,1000,0.2,20,0.5,interactions,stability,,,,,,16,90,10,16,7,10,7,0.2,0.1111111111111111,1.0,10,80,0,90,0.7,1.0,70.0,100.0
simulated_dataset_1000_0.2_20_0.8,1000,0.2,20,0.8,mains,stability,,,,,,10,18,10,9,5,8,4,0.5714285714285714,0.4444444444444444,0.8,8,10,2,18,0.4,0.8,40.0,80.0
simulated_dataset_1000_0.2_20_0.8,1000,0.2,20,0.8,interactions,stability,,,,,,17,90,10,17,3,10,3,0.2,0.1111111111111111,1.0,10,80,0,90,0.3,1.0,30.0,100.0
simulated_dataset_1000_0.2_500_0.0,1000,0.2,500,0.0,mains,stability,,,,,,37,17,10,17,4,3,3,0.2222222222222222,0.17647058823529413,0.3,3,14,7,17,0.3,0.3,30.0,30.0
simulated_dataset_1000_0.2_500_0.0,1000,0.2,500,0.0,interactions,stability,,,,,,13,0,10,0,4,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_1000_0.2_500_0.5,1000,0.2,500,0.5,mains,stability,,,,,,19,15,10,11,3,2,2,0.16,0.13333333333333333,0.2,2,13,8,15,0.2,0.2,20.0,20.0
simulated_dataset_1000_0.2_500_0.5,1000,0.2,500,0.5,interactions,stability,,,,,,5,2,10,2,5,2,2,0.3333333333333333,1.0,0.2,2,0,8,2,0.2,0.2,20.0,20.0
simulated_dataset_1000_0.2_500_0.8,1000,0.2,500,0.8,mains,stability,,,,,,1,22,10,1,1,5,1,0.3125,0.22727272727272727,0.5,5,17,5,22,0.1,0.5,10.0,50.0
simulated_dataset_1000_0.2_500_0.8,1000,0.2,500,0.8,interactions,stability,,,,,,6,30,10,6,4,9,4,0.45,0.3,0.9,9,21,1,30,0.4,0.9,40.0,90.0
simulated_dataset_1000_0.5_20_0.0,1000,0.5,20,0.0,mains,stability,,,,,,13,20,10,13,7,10,7,0.6666666666666666,0.5,1.0,10,10,0,20,0.7,1.0,70.0,100.0
simulated_dataset_1000_0.5_20_0.0,1000,0.5,20,0.0,interactions,stability,,,,,,10,90,10,10,6,10,6,0.2,0.1111111111111111,1.0,10,80,0,90,0.6,1.0,60.0,100.0
simulated_dataset_1000_0.5_20_0.5,1000,0.5,20,0.5,mains,stability,,,,,,7,20,10,7,6,10,6,0.6666666666666666,0.5,1.0,10,10,0,20,0.6,1.0,60.0,100.0
simulated_dataset_1000_0.5_20_0.5,1000,0.5,20,0.5,interactions,stability,,,,,,15,90,10,15,8,10,8,0.2,0.1111111111111111,1.0,10,80,0,90,0.8,1.0,80.0,100.0
simulated_dataset_1000_0.5_20_0.8,1000,0.5,20,0.8,mains,stability,,,,,,11,18,10,11,7,8,7,0.5714285714285714,0.4444444444444444,0.8,8,10,2,18,0.7,0.8,70.0,80.0
simulated_dataset_1000_0.5_20_0.8,1000,0.5,20,0.8,interactions,stability,,,,,,17,84,10,17,8,10,8,0.2127659574468085,0.11904761904761904,1.0,10,74,0,84,0.8,1.0,80.0,100.0
simulated_dataset_1000_0.5_500_0.0,1000,0.5,500,0.0,mains,stability,,,,,,37,61,10,32,6,5,5,0.14084507042253522,0.08196721311475409,0.5,5,56,5,61,0.5,0.5,50.0,50.0
simulated_dataset_1000_0.5_500_0.0,1000,0.5,500,0.0,interactions,stability,,,,,,10,7,10,7,8,7,7,0.8235294117647058,1.0,0.7,7,0,3,7,0.7,0.7,70.0,70.0
simulated_dataset_1000_0.5_500_0.5,1000,0.5,500,0.5,mains,stability,,,,,,27,32,10,20,5,5,5,0.23809523809523808,0.15625,0.5,5,27,5,32,0.5,0.5,50.0,50.0
simulated_dataset_1000_0.5_500_0.5,1000,0.5,500,0.5,interactions,stability,,,,,,5,4,10,4,5,4,4,0.5714285714285714,1.0,0.4,4,0,6,4,0.4,0.4,40.0,40.0
simulated_dataset_1000_0.5_500_0.8,1000,0.5,500,0.8,mains,stability,,,,,,15,24,10,11,5,5,5,0.29411764705882354,0.20833333333333334,0.5,5,19,5,24,0.5,0.5,50.0,50.0
simulated_dataset_1000_0.5_500_0.8,1000,0.5,500,0.8,interactions,stability,,,,,,8,9,10,6,5,4,4,0.42105263157894735,0.4444444444444444,0.4,4,5,6,9,0.4,0.4,40.0,40.0
simulated_dataset_250_0.05_20_0.0,250,0.05,20,0.0,mains,stability,,,,,,5,16,10,5,2,7,2,0.5384615384615384,0.4375,0.7,7,9,3,16,0.2,0.7,20.0,70.0
simulated_dataset_250_0.05_20_0.0,250,0.05,20,0.0,interactions,stability,,,,,,0,70,10,0,0,9,0,0.225,0.12857142857142856,0.9,9,61,1,70,0.0,0.9,0.0,90.0
simulated_dataset_250_0.05_20_0.5,250,0.05,20,0.5,mains,stability,,,,,,4,17,10,4,3,7,3,0.5185185185185185,0.4117647058823529,0.7,7,10,3,17,0.3,0.7,30.0,70.0
simulated_dataset_250_0.05_20_0.5,250,0.05,20,0.5,interactions,stability,,,,,,8,63,10,8,3,8,3,0.2191780821917808,0.12698412698412698,0.8,8,55,2,63,0.3,0.8,30.0,80.0
simulated_dataset_250_0.05_20_0.8,250,0.05,20,0.8,mains,stability,,,,,,4,15,10,4,2,6,2,0.48,0.4,0.6,6,9,4,15,0.2,0.6,20.0,60.0
simulated_dataset_250_0.05_20_0.8,250,0.05,20,0.8,interactions,stability,,,,,,1,23,10,1,0,6,0,0.36363636363636365,0.2608695652173913,0.6,6,17,4,23,0.0,0.6,0.0,60.0
simulated_dataset_250_0.05_500_0.0,250,0.05,500,0.0,mains,stability,,,,,,1,0,10,0,1,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.05_500_0.0,250,0.05,500,0.0,interactions,stability,,,,,,6,0,10,0,4,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.05_500_0.5,250,0.05,500,0.5,mains,stability,,,,,,4,1,10,1,2,0,0,0.0,0.0,0.0,0,1,10,1,0.0,0.0,0.0,0.0
simulated_dataset_250_0.05_500_0.5,250,0.05,500,0.5,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.05_500_0.8,250,0.05,500,0.8,mains,stability,,,,,,3,4,10,3,1,1,1,0.14285714285714285,0.25,0.1,1,3,9,4,0.1,0.1,10.0,10.0
simulated_dataset_250_0.05_500_0.8,250,0.05,500,0.8,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.2_20_0.0,250,0.2,20,0.0,mains,stability,,,,,,4,20,10,4,3,10,3,0.6666666666666666,0.5,1.0,10,10,0,20,0.3,1.0,30.0,100.0
simulated_dataset_250_0.2_20_0.0,250,0.2,20,0.0,interactions,stability,,,,,,16,90,10,16,8,10,8,0.2,0.1111111111111111,1.0,10,80,0,90,0.8,1.0,80.0,100.0
simulated_dataset_250_0.2_20_0.5,250,0.2,20,0.5,mains,stability,,,,,,3,19,10,3,3,9,3,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.3,0.9,30.0,90.0
simulated_dataset_250_0.2_20_0.5,250,0.2,20,0.5,interactions,stability,,,,,,1,66,10,1,1,9,1,0.23684210526315788,0.13636363636363635,0.9,9,57,1,66,0.1,0.9,10.0,90.0
simulated_dataset_250_0.2_20_0.8,250,0.2,20,0.8,mains,stability,,,,,,0,20,10,0,0,10,0,0.6666666666666666,0.5,1.0,10,10,0,20,0.0,1.0,0.0,100.0
simulated_dataset_250_0.2_20_0.8,250,0.2,20,0.8,interactions,stability,,,,,,0,90,10,0,0,10,0,0.2,0.1111111111111111,1.0,10,80,0,90,0.0,1.0,0.0,100.0
simulated_dataset_250_0.2_500_0.0,250,0.2,500,0.0,mains,stability,,,,,,11,7,10,5,1,1,1,0.11764705882352941,0.14285714285714285,0.1,1,6,9,7,0.1,0.1,10.0,10.0
simulated_dataset_250_0.2_500_0.0,250,0.2,500,0.0,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.2_500_0.5,250,0.2,500,0.5,mains,stability,,,,,,17,4,10,2,2,1,1,0.14285714285714285,0.25,0.1,1,3,9,4,0.1,0.1,10.0,10.0
simulated_dataset_250_0.2_500_0.5,250,0.2,500,0.5,interactions,stability,,,,,,2,0,10,0,1,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.2_500_0.8,250,0.2,500,0.8,mains,stability,,,,,,13,4,10,3,1,1,0,0.14285714285714285,0.25,0.1,1,3,9,4,0.0,0.1,0.0,10.0
simulated_dataset_250_0.2_500_0.8,250,0.2,500,0.8,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.5_20_0.0,250,0.5,20,0.0,mains,stability,,,,,,11,19,10,11,4,9,4,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.4,0.9,40.0,90.0
simulated_dataset_250_0.5_20_0.0,250,0.5,20,0.0,interactions,stability,,,,,,18,55,10,14,5,10,5,0.3076923076923077,0.18181818181818182,1.0,10,45,0,55,0.5,1.0,50.0,100.0
simulated_dataset_250_0.5_20_0.5,250,0.5,20,0.5,mains,stability,,,,,,13,19,10,13,7,9,7,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.7,0.9,70.0,90.0
simulated_dataset_250_0.5_20_0.5,250,0.5,20,0.5,interactions,stability,,,,,,20,85,10,20,5,10,5,0.21052631578947367,0.11764705882352941,1.0,10,75,0,85,0.5,1.0,50.0,100.0
simulated_dataset_250_0.5_20_0.8,250,0.5,20,0.8,mains,stability,,,,,,9,20,10,9,5,10,5,0.6666666666666666,0.5,1.0,10,10,0,20,0.5,1.0,50.0,100.0
simulated_dataset_250_0.5_20_0.8,250,0.5,20,0.8,interactions,stability,,,,,,18,83,10,18,7,10,7,0.21505376344086022,0.12048192771084337,1.0,10,73,0,83,0.7,1.0,70.0,100.0
simulated_dataset_250_0.5_500_0.0,250,0.5,500,0.0,mains,stability,,,,,,2,4,10,1,1,4,1,0.5714285714285714,1.0,0.4,4,0,6,4,0.1,0.4,10.0,40.0
simulated_dataset_250_0.5_500_0.0,250,0.5,500,0.0,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_250_0.5_500_0.5,250,0.5,500,0.5,mains,stability,,,,,,30,4,10,4,2,1,1,0.14285714285714285,0.25,0.1,1,3,9,4,0.1,0.1,10.0,10.0
