stem,n,prev,p,rho,typ,stability_method,pair_agg,pi_main,pi_inter,implied_pfer_main,implied_pfer_inter,chosen_total,stable_total,true_total,chosen_and_stable,chosen_and_true,stable_and_true,all_three,F1,precision,recall,TP,FP,FN,n_stable,all_three_rate,stable_true_rate,all_three_percent,stable_true_percent
simulated_dataset_1000_0.05_20_0.0,1000,0.05,20,0.0,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_1000_0.05_20_0.0,1000,0.05,20,0.0,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_1000_0.05_20_0.5,1000,0.05,20,0.5,mains,stability,,,,,,,19,10,,,9,,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,,0.9,,90.0
simulated_dataset_1000_0.05_20_0.5,1000,0.05,20,0.5,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_1000_0.05_20_0.8,1000,0.05,20,0.8,mains,stability,,,,,,,17,10,,,7,,0.5185185185185185,0.4117647058823529,0.7,7,10,3,17,,0.7,,70.0
simulated_dataset_1000_0.05_20_0.8,1000,0.05,20,0.8,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_1000_0.05_500_0.0,1000,0.05,500,0.0,mains,stability,,,,,,,23,10,,,3,,0.18181818181818182,0.13043478260869565,0.3,3,20,7,23,,0.3,,30.0
simulated_dataset_1000_0.05_500_0.0,1000,0.05,500,0.0,interactions,stability,,,,,,,5,10,,,5,,0.6666666666666666,1.0,0.5,5,0,5,5,,0.5,,50.0
simulated_dataset_1000_0.05_500_0.5,1000,0.05,500,0.5,mains,stability,,,,,,,7,10,,,0,,0.0,0.0,0.0,0,7,10,7,,0.0,,0.0
simulated_dataset_1000_0.05_500_0.5,1000,0.05,500,0.5,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_1000_0.05_500_0.8,1000,0.05,500,0.8,mains,stability,,,,,,,13,10,,,2,,0.17391304347826086,0.15384615384615385,0.2,2,11,8,13,,0.2,,20.0
simulated_dataset_1000_0.05_500_0.8,1000,0.05,500,0.8,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_1000_0.2_20_0.0,1000,0.2,20,0.0,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_1000_0.2_20_0.0,1000,0.2,20,0.0,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_1000_0.2_20_0.5,1000,0.2,20,0.5,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_1000_0.2_20_0.5,1000,0.2,20,0.5,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_1000_0.2_20_0.8,1000,0.2,20,0.8,mains,stability,,,,,,,18,10,,,8,,0.5714285714285714,0.4444444444444444,0.8,8,10,2,18,,0.8,,80.0
simulated_dataset_1000_0.2_20_0.8,1000,0.2,20,0.8,interactions,stability,,,,,,,50,10,,,7,,0.23333333333333334,0.14,0.7,7,43,3,50,,0.7,,70.0
simulated_dataset_1000_0.2_500_0.0,1000,0.2,500,0.0,mains,stability,,,,,,,17,10,,,3,,0.2222222222222222,0.17647058823529413,0.3,3,14,7,17,,0.3,,30.0
simulated_dataset_1000_0.2_500_0.0,1000,0.2,500,0.0,interactions,stability,,,,,,,0,10,,,0,,0.0,0.0,0.0,0,0,10,0,,0.0,,0.0
simulated_dataset_1000_0.2_500_0.5,1000,0.2,500,0.5,mains,stability,,,,,,,15,10,,,2,,0.16,0.13333333333333333,0.2,2,13,8,15,,0.2,,20.0
simulated_dataset_1000_0.2_500_0.5,1000,0.2,500,0.5,interactions,stability,,,,,,,2,10,,,2,,0.3333333333333333,1.0,0.2,2,0,8,2,,0.2,,20.0
simulated_dataset_1000_0.2_500_0.8,1000,0.2,500,0.8,mains,stability,,,,,,,22,10,,,5,,0.3125,0.22727272727272727,0.5,5,17,5,22,,0.5,,50.0
simulated_dataset_1000_0.2_500_0.8,1000,0.2,500,0.8,interactions,stability,,,,,,,26,10,,,9,,0.5,0.34615384615384615,0.9,9,17,1,26,,0.9,,90.0
simulated_dataset_1000_0.5_20_0.0,1000,0.5,20,0.0,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_1000_0.5_20_0.0,1000,0.5,20,0.0,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_1000_0.5_20_0.5,1000,0.5,20,0.5,mains,stability,,,,,,,20,10,,,10,,0.6666666666666666,0.5,1.0,10,10,0,20,,1.0,,100.0
simulated_dataset_1000_0.5_20_0.5,1000,0.5,20,0.5,interactions,stability,,,,,,,50,10,,,9,,0.3,0.18,0.9,9,41,1,50,,0.9,,90.0
simulated_dataset_1000_0.5_20_0.8,1000,0.5,20,0.8,mains,stability,,,,,,,18,10,,,8,,0.5714285714285714,0.4444444444444444,0.8,8,10,2,18,,0.8,,80.0
simulated_dataset_1000_0.5_20_0.8,1000,0.5,20,0.8,interactions,stability,,,,,,,50,10,,,10,,0.3333333333333333,0.2,1.0,10,40,0,50,,1.0,,100.0
simulated_dataset_1000_0.5_500_0.0,1000,0.5,500,0.0,mains,stability,,,,,,,50,10,,,5,,0.16666666666666666,0.1,0.5,5,45,5,50,,0.5,,50.0
simulated_dataset_1000_0.5_500_0.0,1000,0.5,500,0.0,interactions,stability,,,,,,,7,10,,,7,,0.8235294117647058,1.0,0.7,7,0,3,7,,0.7,,70.0
simulated_dataset_1000_0.5_500_0.5,1000,0.5,500,0.5,mains,stability,,,,,,,32,10,,,5,,0.23809523809523808,0.15625,0.5,5,27,5,32,,0.5,,50.0
simulated_dataset_1000_0.5_500_0.5,1000,0.5,500,0.5,interactions,stability,,,,,,,4,10,,,4,,0.5714285714285714,1.0,0.4,4,0,6,4,,0.4,,40.0
simulated_dataset_1000_0.5_500_0.8,1000,0.5,500,0.8,mains,stability,,,,,,,24,10,,,5,,0.29411764705882354,0.20833333333333334,0.5,5,19,5,24,,0.5,,50.0
simulated_dataset_1000_0.5_500_0.8,1000,0.5,500,0.8,interactions,stability,,,,,,,9,10,,,4,,0.42105263157894735,0.4444444444444444,0.4,4,5,6,9,,0.4,,40.0
simulated_dataset_250_0.05_20_0.0,250,0.05,20,0.0,mains,stability,,,,,,,16,10,,,7,,0.5384615384615384,0.4375,0.7,7,9,3,16,,0.7,,70.0
simulated_dataset_250_0.05_20_0.0,250,0.05,20,0.0,interactions,stability,,,,,,,50,10,,,8,,0.26666666666666666,0.16,0.8,8,42,2,50,,0.8,,80.0
simulated_dataset_250_0.05_20_0.5,250,0.05,20,0.5,mains,stability,,,,,,,17,10,,,7,,0.5185185185185185,0.4117647058823529,0.7,7,10,3,17,,0.7,,70.0
simulated_dataset_250_0.05_20_0.5,250,0.05,20,0.5,interactions,stability,,,,,,,50,10,,,7,,0.23333333333333334,0.14,0.7,7,43,3,50,,0.7,,70.0
simulated_dataset_250_0.05_20_0.8,250,0.05,20,0.8,mains,stability,,,,,,,15,10,,,6,,0.48,0.4,0.6,6,9,4,15,,0.6,,60.0
