i,j,freq
0,0,0.0
0,1,0.26
0,2,0.6
0,3,0.34
0,4,0.16
0,5,0.24
0,6,0.4
0,7,0.2
0,8,0.22
0,9,0.08
0,10,0.18
0,11,0.06
0,12,0.24
0,13,0.04
0,14,0.14
0,15,0.06
0,16,0.42
0,17,0.18
0,18,0.12
0,19,0.12
1,1,0.0
1,2,0.34
1,3,0.12
1,4,0.22
1,5,0.5
1,6,0.44
1,7,0.44
1,8,0.22
1,9,0.24
1,10,0.4
1,11,0.1
1,12,0.1
1,13,0.14
1,14,0.2
1,15,0.26
1,16,0.48
1,17,0.36
1,18,0.26
1,19,0.28
2,2,0.0
2,3,0.1
2,4,0.16
2,5,0.26
2,6,0.54
2,7,0.34
2,8,0.34
2,9,0.1
2,10,0.32
2,11,0.16
2,12,0.12
2,13,0.18
2,14,0.14
2,15,0.08
2,16,0.66
2,17,0.3
2,18,0.06
2,19,0.18
3,3,0.0
3,4,0.1
3,5,0.08
3,6,0.08
3,7,0.48
3,8,0.14
3,9,0.12
3,10,0.28
3,11,0.06
3,12,0.02
3,13,0.04
3,14,0.1
3,15,0.2
3,16,0.5
3,17,0.08
3,18,0.18
3,19,0.2
4,4,0.0
4,5,0.5
4,6,0.16
4,7,0.12
4,8,0.04
4,9,0.16
4,10,0.42
4,11,0.16
4,12,0.26
4,13,0.28
4,14,0.28
4,15,0.04
4,16,0.2
4,17,0.04
4,18,0.18
4,19,0.08
5,5,0.0
5,6,0.54
5,7,0.62
5,8,0.44
5,9,0.18
5,10,0.34
5,11,0.14
5,12,0.2
5,13,0.18
5,14,0.26
5,15,0.2
5,16,0.52
5,17,0.34
5,18,0.26
5,19,0.54
6,6,0.0
6,7,0.38
6,8,0.48
6,9,0.02
6,10,0.3
6,11,0.16
6,12,0.2
6,13,0.16
6,14,0.48
6,15,0.24
6,16,0.64
6,17,0.28
6,18,0.2
6,19,0.16
7,7,0.0
7,8,0.48
7,9,0.06
7,10,0.22
7,11,0.36
7,12,0.24
7,13,0.32
7,14,0.18
7,15,0.26
7,16,0.48
7,17,0.14
7,18,0.12
7,19,0.58
8,8,0.0
8,9,0.18
8,10,0.64
8,11,0.08
8,12,0.3
8,13,0.16
8,14,0.22
8,15,0.4
8,16,0.3
8,17,0.26
8,18,0.1
8,19,0.18
9,9,0.0
9,10,0.1
9,11,0.2
9,12,0.02
9,13,0.12
9,14,0.14
9,15,0.2
9,16,0.04
9,17,0.26
9,18,0.3
9,19,0.1
10,10,0.0
10,11,0.12
10,12,0.12
10,13,0.22
10,14,0.24
10,15,0.08
10,16,0.26
10,17,0.28
10,18,0.38
10,19,0.14
11,11,0.0
11,12,0.14
11,13,0.1
11,14,0.22
11,15,0.14
11,16,0.26
11,17,0.18
11,18,0.18
11,19,0.24
12,12,0.0
12,13,0.2
12,14,0.14
12,15,0.04
12,16,0.2
12,17,0.46
12,18,0.14
12,19,0.08
13,13,0.0
13,14,0.06
13,15,0.16
13,16,0.14
13,17,0.14
13,18,0.06
13,19,0.02
14,14,0.0
14,15,0.22
14,16,0.26
14,17,0.18
14,18,0.2
14,19,0.1
15,15,0.0
15,16,0.18
15,17,0.2
15,18,0.12
15,19,0.14
16,16,0.0
16,17,0.22
16,18,0.16
16,19,0.18
17,17,0.0
17,18,0.16
17,19,0.58
18,18,0.0
18,19,0.52
19,19,0.0
